combination,feedback
ㄱ,"혀 뒷부분을 목구멍 쪽에 가볍게 붙였다 떼면서 공기를 내보내는 연습을 해보세요!"
ㄲ,"혀 뒷부분을 목구멍에 강하게 붙였다 떼면서 'ㄱ'을 발음할 때보다 더 힘을 줘 보세요!"
ㄴ,"혀끝을 윗니 뒤쪽 잇몸에 살짝 붙였다 떼면서 코로 부드럽게 공기를 내보내는 연습을 해보세요!"
ㄷ,"혀끝을 윗니 뒤쪽 잇몸에 붙였다 떼면서 공기를 내보내는 연습을 해보세요!"
ㄸ,"혀끝을 윗니 뒤쪽 잇몸에 강하게 붙였다 떼면서 'ㄷ'을 발음할 때보다 더 힘을 줘 보세요."
ㄹ,"혀끝을 윗니 뒤쪽에 가볍게 붙였다가 떼면서 공기를 내보내는 연습을 해보세요!"
ㅁ,"입술을 꼭 붙였다 떼면서 코로 공기를 내보내는 연습을 해보세요!"
ㅂ,"입술을 붙였다 떼면서 공기를 내보내는 연습을 해보세요!"
ㅃ,"입술을 강하게 붙였다 떼면서 'ㅂ'을 발음할 때보다 더 힘을 줘 보세요!"
ㅅ,"혀끝을 윗니 뒤쪽에 가깝게 대고, 그 사이로 부드럽게 공기를 내보내는 연습을 해보세요!"
ㅆ,"혀끝을 윗니 뒤쪽에 가깝게 대고, 목에 힘을 주면서 공기를 강하게 내보내 보세요!"
ㅇ,"목구멍을 가볍게 막고 코로 공기를 부드럽게 내보내 보세요!"
ㅈ,"혀끝을 윗니 뒤쪽에 가볍게 붙였다가 떼면서 공기를 부드럽게 내보내는 연습을 해보세요!"
ㅉ,"혀끝을 윗니 뒤쪽에 강하게 붙였다 떼면서 'ㅈ'을 발음할 때보다 더 힘을 줘 보세요!"
ㅊ,"혀끝을 입천장에 붙였다가 떼면서 공기를 세게 내보내는 연습을 해보세요!"
ㅋ,"혀 뒷부분을 목구멍에 강하게 붙였다 떼면서 공기를 세게 내보내는 연습을 해보세요!"
ㅌ,"혀끝을 윗니 뒤쪽 잇몸에 강하게 붙였다 떼면서 'ㄷ'을 발음할 때보다 더 세게 공기를 내보내는 연습을 해보세요!"
ㅍ,"입술을 붙였다 떼면서 공기를 세게 내보내는 연습을 해보세요!"
ㅎ,"목구멍에서부터 공기를 세게 내보내는 연습을 해보세요!"
ㄱ_ㅋ,"'ㅋ'을 발음할 때는 'ㄱ'보다 더 세게 공기를 내보내 보세요!"
ㄱ_ㄲ,"'ㄲ'을 발음하려면 'ㄱ'보다 더 세게 혀를 목구멍에 붙였다 떼어보세요!"
ㅋ_ㄱ,"'ㅋ'은 공기를 강하게 내보내지만, 'ㄱ'은 더 부드럽게 발음해요. 혀를 가볍게 붙이고 천천히 발음해 보세요!"
ㅋ_ㄲ,"'ㄲ'을 발음할 때는 'ㅋ'보다 더 힘을 줘 보세요!"
ㄲ_ㄱ,"'ㄲ'은 더 강하게 발음해요. 'ㄱ'을 발음할 때는 혀의 힘을 조금만 줄여보세요!"
ㄲ_ㅋ,"'ㅋ'은 'ㄲ'보다 더 세게 공기를 내보내며 발음해 보세요!"
ㄷ_ㅌ,"'ㅌ'을 발음할 때는 'ㄷ'보다 더 세게 공기를 내보내 보세요!"
ㄷ_ㄸ,"'ㄸ'은 'ㄷ'보다 더 힘을 주어 발음해 보세요!"
ㅌ_ㄷ,"'ㄷ'을 발음하려면, 혀를 조금 약하게 붙이고 공기를 적게 내보내 보세요!"
ㅌ_ㄸ,"'ㄸ'를 발음할 때는 'ㅌ'보다 더 세게 발음해 보세요!"
ㄸ_ㄷ,"'ㄷ'을 발음할 때 'ㄸ'보다 조금 약하게 발음해 보세요!"
ㄸ_ㅌ,"'ㅌ'은 'ㄸ'보다 공기를 더 세게 내보내세요. 입을 조금 더 벌려서 다시 발음해 보세요!"
ㅂ_ㅍ,"'ㅍ'을 발음할 때는 'ㅂ'보다 공기를 더 세게 내보내 보세요!"
ㅂ_ㅃ,"'ㅃ'을 발음할 때 입술을 더 세게 다물고 힘을 주세요!"
ㅍ_ㅂ,"'ㅂ'은 'ㅍ'보다 공기를 조금 약하게 내보내세요. 부드럽게 발음해 보세요!"
ㅍ_ㅃ,"'ㅍ'은 공기를 많이 내뿜는 소리인데, 'ㅃ'은 입술을 더 단단히 붙이고 발음해 보세요."
ㅃ_ㅂ,"'ㅂ'을 발음할 때는 입술을 조금 약하게 떼어 보세요. 'ㅃ'보다 부드럽게 발음해 보세요!"
ㅃ_ㅍ,"'ㅍ'을 발음할 때는 입술을 덜 힘주고, 공기를 더 세게 내보내 보세요!"
ㅅ_ㅆ,"'ㅆ'을 발음할 때는 더 강한 숨을 내보내며 발음해 보세요. 'ㅅ'보다 힘을 주어 말해보세요!"
