combination,feedback
ㅣ,"'ㅣ'을 발음하려면, 입을 옆으로 길게 벌리세요. 혀는 입천장 쪽으로 올리세요."
ㅔ,"'ㅔ'을 발음하려면, 입을 새끼손가락 하나만큼 벌리세요. 혀는 [이]보다 낮게 내리세요."
ㅐ,"'ㅐ'을 발음하려면, 입을 새끼손가락 두 개만큼 벌리세요. 혀는 아랫니 뒤에 두세요."
ㅏ,"'ㅏ'을 발음하려면, 입을 새끼손가락 세 개만큼 벌리세요. 혀는 최대한 내리세요."
ㅓ,"'ㅓ'을 발음하려면, 입을 새끼손가락 두 개만큼 벌리세요. 입술과 혀는 힘을 주지 말고 편안하게 두세요."
ㅗ,"'ㅗ'을 발음하려면, 입을 새끼손가락 하나만큼 벌리세요. 입술은 동그랗게 만드세요. 혀끝은 밑으로 내리고, 혀의 뒤쪽을 올리세요."
ㅜ,"'ㅜ'을 발음하려면, 입을 조금만 벌리세요. 입술을 동그랗게 만드세요. 입술을 조금 앞으로 내미세요. 혀끝은 밑으로 내리고 혀의 뒤쪽을 최대한 올리세요."
ㅡ,"'ㅡ'을 발음하려면, 입을 조금만 벌리세요. 입술과 혀는 힘을 주지 말고 편안하게 두세요."
ㅑ,"'ㅑ'을 발음하려면, [이아]를 끊지 않고 연이어서 빨리 발음합니다. 이때 [이]는 짧고 약하게 [아]에 붙입니다."
ㅕ,"'ㅕ'을 발음하려면, [이어]를 끊지 않고 연이어서 빨리 발음합니다. 이때 [이]는 짧고 약하게 [어]에 붙입니다."
ㅛ,"'ㅛ'을 발음하려면, [이오]를 끊지 않고 연이어서 빨리 발음합니다. 이때 [이]는 짧고 약하게 [오]에 붙입니다."
ㅠ,"'ㅠ'을 발음하려면, [이우]를 끊지 않고 연이어서 빨리 발음합니다. 이때 [이]는 짧고 약하게 [우]에 붙입니다."
ㅒ,"'ㅒ'을 발음하려면, [이애]를 끊지 않고 연이어서 빨리 발음합니다. 이때 [이]는 짧고 약하게 [애]에 붙입니다."
ㅖ,"'ㅖ'을 발음하려면, [이에]를 끊지 않고 연이어서 빨리 발음합니다. 이때 [이]는 짧고 약하게 [에]에 붙입니다."
ㅘ,"'ㅘ'을 발음하려면, [우아]를 끊지 않고 이어서 발음합니다. 이때 [우]는 짧고 약하게 [아]에 붙입니다."
ㅝ,"'ㅝ'을 발음하려면, [우어]를 끊지 않고 이어서 발음합니다. 이때 [우]는 짧고 약하게 [어]에 붙입니다."
ㅙ,"'ㅙ'을 발음하려면, [우에]를 끊지 않고 이어서 발음합니다. 이때 [우]는 짧고 약하게 [에]에 붙입니다."
ㅞ,"'ㅞ'을 발음하려면, [우에]를 끊지 않고 이어서 발음합니다. 이때 [우]는 짧고 약하게 [에]에 붙입니다."
ㅚ,"'ㅚ'을 발음하려면, [우에]를 끊지 않고 이어서 발음합니다. 이때 [우]는 짧고 약하게 [에]에 붙입니다."
ㅟ,"'ㅟ'을 발음하려면, [우이]를 끊지 않고 이어서 발음합니다. 이때 [우]는 아주 짧게 발음하여 [이]에 붙입니다."
ㅢ,"'ㅢ'을 발음하려면, 입술의 모양은 [으]로 유지하고, 혀의 위치는 [으]에서 [이]로 빨리 옮깁니다."
ㅔ_ㅣ,"입을 옆으로 길게 벌려서 입술이 최대한 평평해지도록 하세요. 혀를 입천장에 가깝게 올리고, 혀끝은 아랫니 뒤에 가볍게 닿도록 유지하세요. 'ㅔ'는 입을 조금 더 벌리고 혀가 낮은 위치에 있지만, 'ㅣ'는 입을 덜 벌리고 혀가 더 높은 위치에 있습니다."
ㅐ_ㅣ,"입을 옆으로 길게 벌려서 'ㅐ'보다 좁게 만드세요. 혀끝을 아랫니 뒤에 두는 대신, 혀를 입천장 쪽으로 최대한 올리세요. 'ㅐ'는 입을 더 벌리고 혀가 낮은 위치에 있지만, 'ㅣ'는 입을 덜 벌리고 혀가 더 높은 위치에 있습니다."
ㅏ_ㅣ,"입을 옆으로 길게 벌려서 'ㅏ'보다 좁게 만드세요. 혀를 입천장 쪽으로 올려서 앞쪽에 위치시키세요. 'ㅏ'는 입을 크게 벌리고 혀를 아래로 내리지만, 'ㅣ'는 입을 좁게 벌리고 혀를 위로 올리는 것이 핵심 차이입니다."
