combination,feedback
ㄱ,"혀 뒷부분을 목구멍 쪽에 가볍게 붙였다 떼면서 공기를 내보내는 연습을 해보세요!"
ㄲ,"혀 뒷부분을 목구멍에 강하게 붙였다 떼면서 'ㄱ'을 발음할 때보다 더 힘을 줘 보세요!"
ㄴ,"혀끝을 윗니 뒤쪽 잇몸에 살짝 붙였다 떼면서 코로 부드럽게 공기를 내보내는 연습을 해보세요!"
ㄷ,"혀끝을 윗니 뒤쪽 잇몸에 붙였다 떼면서 공기를 내보내는 연습을 해보세요!"
ㄸ,"혀끝을 윗니 뒤쪽 잇몸에 강하게 붙였다 떼면서 'ㄷ'을 발음할 때보다 더 힘을 줘 보세요."
ㄹ,"혀끝을 윗니 뒤쪽에 가볍게 붙였다가 떼면서 공기를 내보내는 연습을 해보세요!"
ㅁ,"입술을 꼭 붙였다 떼면서 코로 공기를 내보내는 연습을 해보세요!"
ㅂ,"입술을 붙였다 떼면서 공기를 내보내는 연습을 해보세요!"
ㅃ,"입술을 강하게 붙였다 떼면서 'ㅂ'을 발음할 때보다 더 힘을 줘 보세요!"
ㅅ,"혀끝을 윗니 뒤쪽에 가깝게 대고, 그 사이로 부드럽게 공기를 내보내는 연습을 해보세요!"
ㅆ,"혀끝을 윗니 뒤쪽에 가깝게 대고, 목에 힘을 주면서 공기를 강하게 내보내 보세요!"
ㅇ,"목구멍을 가볍게 막고 코로 공기를 부드럽게 내보내 보세요!"
ㅈ,"혀끝을 윗니 뒤쪽에 가볍게 붙였다가 떼면서 공기를 부드럽게 내보내는 연습을 해보세요!"
ㅉ,"혀끝을 윗니 뒤쪽에 강하게 붙였다 떼면서 'ㅈ'을 발음할 때보다 더 힘을 줘 보세요!"
ㅊ,"혀끝을 입천장에 붙였다가 떼면서 공기를 세게 내보내는 연습을 해보세요!"
ㅋ,"혀 뒷부분을 목구멍에 강하게 붙였다 떼면서 공기를 세게 내보내는 연습을 해보세요!"
ㅌ,"혀끝을 윗니 뒤쪽 잇몸에 강하게 붙였다 떼면서 'ㄷ'을 발음할 때보다 더 세게 공기를 내보내는 연습을 해보세요!"
ㅍ,"입술을 붙였다 떼면서 공기를 세게 내보내는 연습을 해보세요!"
ㅎ,"목구멍에서부터 공기를 세게 내보내는 연습을 해보세요!"
